[2026-06-05 08:34:15,037][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0ed2fb25c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:35:41,919][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0eb3de79a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:35:42,925][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0eb3de7ca0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:35:44,928][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0eb3de7d30>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:35:48,952][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0eb3de7b50>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:35:56,958][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0eb3097550>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:45:56,990][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e31626650>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:45:58,024][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e31626800>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:46:00,029][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e31625660>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:46:04,035][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e31627970>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:46:12,064][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e2fda6170>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:47:55,531][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e1428c8e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:47:55,536][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e1428d270>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:47:56,562][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e1428dc90>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:47:56,562][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e1428cf40>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:47:58,606][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e1428ebf0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:47:58,607][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e1428eb60>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:48:02,659][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e1428ed70>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:48:02,660][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e1428edd0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:48:10,667][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e12ce0ac0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:48:10,669][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0e12ce0b20>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 08:56:12,079][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0d9376aa40>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:56:13,138][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0d9376af20>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:56:15,199][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0d9376b100>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:56:19,204][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0d9376ba60>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 08:56:27,259][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0d922fa830>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 09:01:37,160][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0d31a26170>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 09:01:37,165][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0d31a24dc0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 09:01:38,173][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0d31a25660>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 09:01:38,173][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0d31a24a30>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 09:01:40,177][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0d31a25630>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 09:01:40,178][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0d31a25060>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 09:01:44,218][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0d31a26b30>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 09:01:44,218][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0d31a25840>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 09:01:52,243][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0d31a26d40>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 09:01:52,244][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0d31a26d10>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 09:06:27,305][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0cd833f070>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 09:06:28,308][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0cd833f700>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 09:06:30,312][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0cd5c447c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 09:06:34,329][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0cd5c45150>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 09:06:42,339][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0cd5c47010>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 09:15:10,813][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0c1d29f7c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 09:15:10,818][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0c1b4a4dc0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 09:15:11,872][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0c1b4a4640>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 09:15:11,872][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0c1b4a5510>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 09:15:13,898][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0c1b4a57e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 09:15:13,899][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0c1b4a4af0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 09:15:17,973][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0c1b4a5a80>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 09:15:17,974][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0c1b4a5f90>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 09:15:26,017][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0c1b4a5ab0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 09:15:26,018][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0c1b4a66e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/yd72wrb51qdih08s01kyw/files/prepare
[2026-06-05 09:16:42,346][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0bfabd33a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
[2026-06-05 09:16:43,397][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f0bfabd3670>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/yd72wrb51qdih08s01kyw/heartbeat
