row_index,host_time_s,elapsed_s,frame_number,vicon_time_s,x_m,y_m,z_m,vx_mps,valid,occluded
486,1784097312.928606033,1.621282816,20648844,68829.480000000,-0.162553805,0.010659592,1.045605564,-1.407024569,1,0
487,1784097312.931776285,1.624453068,20648845,68829.483333333,-0.167312558,0.011145667,1.050472739,-1.427625755,1,0
488,1784097312.935019493,1.627696276,20648846,68829.486666667,-0.172058901,0.011702457,1.054927548,-1.423902981,1,0
489,1784097312.938923836,1.631600618,20648847,68829.490000000,-0.177191330,0.012172000,1.059448455,-1.539728666,1,0
490,1784097312.942334414,1.635011196,20648848,68829.493333333,-0.182354148,0.012765297,1.063958132,-1.548845460,1,0
491,1784097312.945277929,1.637954712,20648849,68829.496666667,-0.187106069,0.013425529,1.068278630,-1.425576272,1,0
492,1784097312.948460340,1.641137123,20648850,68829.500000000,-0.191748973,0.013955510,1.072543789,-1.392871288,1,0
493,1784097312.951704741,1.644381523,20648851,68829.503333333,-0.196636876,0.014170033,1.076791127,-1.466370882,1,0
494,1784097312.955384731,1.648061514,20648852,68829.506666667,-0.201947873,0.014247414,1.081094392,-1.593299024,1,0
495,1784097312.958787680,1.651464462,20648853,68829.510000000,-0.206899651,0.014532724,1.085014328,-1.485533479,1,0
496,1784097312.961871147,1.654547930,20648854,68829.513333333,-0.211829348,0.014996831,1.088624839,-1.478908943,1,0
497,1784097312.965106249,1.657783031,20648855,68829.516666667,-0.216650830,0.015642815,1.092356413,-1.446444525,1,0
498,1784097312.968558073,1.661234856,20648856,68829.520000000,-0.221618717,0.016033761,1.095871028,-1.490366234,1,0
499,1784097312.971972942,1.664649725,20648857,68829.523333333,-0.226662614,0.016212377,1.099186027,-1.513168937,1,0
500,1784097312.975449324,1.668126106,20648858,68829.526666667,-0.231527981,0.016596371,1.102153964,-1.459610086,1,0
501,1784097312.978518486,1.671195269,20648859,68829.530000000,-0.236249488,0.017065108,1.105044767,-1.416452203,1,0
502,1784097312.981732130,1.674408913,20648860,68829.533333333,-0.241073257,0.017429637,1.107920813,-1.447130828,1,0
503,1784097312.985264063,1.677940845,20648861,68829.536666667,-0.245767567,0.017875168,1.110716733,-1.408292800,1,0
504,1784097312.988896370,1.681573153,20648862,68829.540000000,-0.250566049,0.018398271,1.113523805,-1.439544605,1,0
505,1784097312.992124319,1.684801102,20648863,68829.543333333,-0.255120434,0.019011048,1.116242357,-1.366315638,1,0
506,1784097312.995226145,1.687902927,20648864,68829.546666667,-0.259707550,0.019550131,1.118933876,-1.376134880,1,0
507,1784097312.998479366,1.691156149,20648865,68829.550000000,-0.264312231,0.020059862,1.121517444,-1.381404058,1,0
508,1784097313.001854181,1.694530964,20648866,68829.553333333,-0.268928407,0.020411264,1.124026545,-1.384853015,1,0
509,1784097313.005175114,1.697851896,20648867,68829.556666667,-0.273647196,0.020622564,1.126443901,-1.415636497,1,0
510,1784097313.008759737,1.701436520,20648868,68829.560000000,-0.278313723,0.020811857,1.128595972,-1.399958246,1,0
511,1784097313.011950731,1.704627514,20648869,68829.563333333,-0.283758966,0.020980669,1.130959608,-1.633572831,1,0
512,1784097313.015154600,1.707831383,20648870,68829.566666667,-0.288580587,0.021451905,1.133173955,-1.446486267,1,0
513,1784097313.018487215,1.711163998,20648871,68829.570000000,-0.293275493,0.021984711,1.134841560,-1.408471955,1,0
514,1784097313.022253275,1.714930058,20648872,68829.573333333,-0.298192298,0.022504192,1.136490540,-1.475041312,1,0
515,1784097313.025460958,1.718137741,20648873,68829.576666667,-0.303317038,0.022995695,1.138254208,-1.537422024,1,0
516,1784097313.028636932,1.721313715,20648874,68829.580000000,-0.308012504,0.023754084,1.139695208,-1.408639783,1,0
517,1784097313.031991243,1.724668026,20648875,68829.583333333,-0.312658610,0.024368099,1.141081840,-1.393831778,1,0
518,1784097313.035021782,1.727698565,20648876,68829.586666667,-0.318113843,0.024495978,1.142724010,-1.636570046,1,0
519,1784097313.038548470,1.731225252,20648877,68829.590000000,-0.322832424,0.024736728,1.144218021,-1.415574400,1,0
520,1784097313.041863918,1.734540701,20648878,68829.593333333,-0.327372405,0.025160656,1.145230366,-1.361994034,1,0
521,1784097313.045237541,1.737914324,20648879,68829.596666667,-0.332119125,0.025638700,1.146155553,-1.424016259,1,0
522,1784097313.048873425,1.741550207,20648880,68829.600000000,-0.337035817,0.026128353,1.147020477,-1.475007342,1,0
523,1784097313.051883698,1.744560480,20648881,68829.603333333,-0.341886950,0.026570762,1.147735758,-1.455339989,1,0
524,1784097313.055179834,1.747856617,20648882,68829.606666667,-0.346827323,0.026856329,1.148323035,-1.482112009,1,0
525,1784097313.058484793,1.751161575,20648883,68829.610000000,-0.351745704,0.027209285,1.148692914,-1.475514122,1,0
526,1784097313.061824322,1.754501104,20648884,68829.613333333,-0.356411642,0.027731784,1.148750532,-1.399781562,1,0
527,1784097313.065101385,1.757778168,20648885,68829.616666667,-0.361053782,0.028183952,1.148786339,-1.392641865,1,0
528,1784097313.068407536,1.761084318,20648886,68829.620000000,-0.365772211,0.028546656,1.148840780,-1.415528797,1,0
529,1784097313.071893692,1.764570475,20648887,68829.623333333,-0.370534904,0.028968278,1.148908361,-1.428808025,1,0
530,1784097313.075411558,1.768088341,20648888,68829.626666667,-0.375135591,0.029545223,1.148897930,-1.380206102,1,0
531,1784097313.078653336,1.771330118,20648889,68829.630000000,-0.379609870,0.030155699,1.148789131,-1.342283467,1,0
532,1784097313.081920862,1.774597645,20648890,68829.633333333,-0.384184937,0.030653211,1.148589666,-1.372520151,1,0
533,1784097313.084982634,1.777659416,20648891,68829.636666667,-0.388711673,0.031086786,1.148333597,-1.358020869,1,0
534,1784097313.088621616,1.781298399,20648892,68829.640000000,-0.393502172,0.031291961,1.148084943,-1.437149804,1,0
535,1784097313.092123032,1.784799814,20648893,68829.643333333,-0.398331989,0.031436660,1.147580714,-1.448944878,1,0
536,1784097313.095653057,1.788329840,20648894,68829.646666667,-0.403001293,0.031813650,1.147103344,-1.400791200,1,0
537,1784097313.098471403,1.791148186,20648895,68829.650000000,-0.407627695,0.032291591,1.146560222,-1.387920737,1,0
538,1784097313.101709127,1.794385910,20648896,68829.653333333,-0.412278656,0.032777383,1.145710244,-1.395288406,1,0
539,1784097313.105276585,1.797953367,20648897,68829.656666667,-0.417026232,0.033288346,1.144573823,-1.424272720,1,0
