Connecting to 192.168.10.1:801 ...
Captured G1Pelvis template with 5 markers: G1pelvis1 G1pelvis2 G1pelvis3 G1pelvis4 G1pelvis5
Loading table calibration from deploy/mocap_bridge/calibrations/table_frame_latest.json ...
Table rectangle score=0.0000 center_raw_m=[-0.2257, 3.1389, 0.7475] x_axis_raw=[0.0331, 0.9995, 0.0000] y_axis_raw=[-0.9995, 0.0331, 0.0000]
Table-world convention: robot-side edge x=0.0000 m, far edge x=2.7400 m, expected G1Pelvis x ~= -0.4000 m
Base initial measured_world_m=[-0.7124, -0.2175, 0.8693] anchor_initial_world_m=[-0.7124, -0.2175, 0.8693] raw
Publishing on vicon_state_data via udpm://239.255.76.67:7667?ttl=255
frame=130607128 hz=208.2 base_valid=1 base_markers=5 base_rms_mm=0.08 base_measured_m=[-0.7130, -0.2174, 0.8693] base_world_m=[-0.7130, -0.2174, 0.8693] base_edge_error_m=-0.3130 base_quat_xyzw=[0.0000, 0.0000, -0.0009, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607159 hz=210.8 base_valid=1 base_markers=5 base_rms_mm=0.09 base_measured_m=[-0.7132, -0.2172, 0.8693] base_world_m=[-0.7132, -0.2172, 0.8693] base_edge_error_m=-0.3132 base_quat_xyzw=[0.0000, 0.0000, -0.0006, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607189 hz=213.1 base_valid=1 base_markers=5 base_rms_mm=0.15 base_measured_m=[-0.7133, -0.2169, 0.8692] base_world_m=[-0.7133, -0.2169, 0.8692] base_edge_error_m=-0.3133 base_quat_xyzw=[0.0000, 0.0000, -0.0005, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607220 hz=215.4 base_valid=1 base_markers=5 base_rms_mm=0.10 base_measured_m=[-0.7133, -0.2168, 0.8692] base_world_m=[-0.7133, -0.2168, 0.8692] base_edge_error_m=-0.3133 base_quat_xyzw=[0.0000, 0.0000, -0.0004, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607250 hz=217.5 base_valid=1 base_markers=5 base_rms_mm=0.12 base_measured_m=[-0.7133, -0.2167, 0.8693] base_world_m=[-0.7133, -0.2167, 0.8693] base_edge_error_m=-0.3133 base_quat_xyzw=[0.0000, 0.0000, -0.0006, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607281 hz=219.6 base_valid=1 base_markers=5 base_rms_mm=0.08 base_measured_m=[-0.7133, -0.2165, 0.8693] base_world_m=[-0.7133, -0.2165, 0.8693] base_edge_error_m=-0.3133 base_quat_xyzw=[0.0000, 0.0000, -0.0003, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607311 hz=221.4 base_valid=1 base_markers=5 base_rms_mm=0.12 base_measured_m=[-0.7133, -0.2165, 0.8692] base_world_m=[-0.7133, -0.2165, 0.8692] base_edge_error_m=-0.3133 base_quat_xyzw=[0.0000, 0.0000, -0.0003, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607342 hz=223.3 base_valid=1 base_markers=5 base_rms_mm=0.16 base_measured_m=[-0.7131, -0.2166, 0.8692] base_world_m=[-0.7131, -0.2166, 0.8692] base_edge_error_m=-0.3131 base_quat_xyzw=[0.0000, 0.0000, -0.0002, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607373 hz=225.1 base_valid=1 base_markers=5 base_rms_mm=0.07 base_measured_m=[-0.7130, -0.2168, 0.8693] base_world_m=[-0.7130, -0.2168, 0.8693] base_edge_error_m=-0.3130 base_quat_xyzw=[0.0000, 0.0000, -0.0000, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607403 hz=226.7 base_valid=1 base_markers=5 base_rms_mm=0.11 base_measured_m=[-0.7129, -0.2168, 0.8693] base_world_m=[-0.7129, -0.2168, 0.8693] base_edge_error_m=-0.3129 base_quat_xyzw=[0.0000, 0.0000, -0.0001, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
