step,raw_error,raw_equiv_deg,rolling100_error,rolling100_equiv_deg,rolling100_reward
749,0.0331614650785923,14.796602341558906,0.03430291136726737,15.050553319194206,1.0006614637374878
774,0.02933887206017971,13.913196022993755,0.03326222989708185,14.819191828835297,1.0010663491487504
799,0.03205312415957451,14.545871013793334,0.03217927984893323,14.574623000911135,1.0018517726659777
824,0.031436897814273834,14.404620663587465,0.0317176161147654,14.469133781528011,1.0022996801137924
849,0.03227176144719124,14.595665166617101,0.031384461540728804,14.392538679458566,1.0028005903959274
874,0.032253529876470566,14.591519320588596,0.03155112616717815,14.43090604960784,1.003024626970291
899,0.03511512279510498,15.228735588887366,0.032210172228515146,14.581655190651857,1.0026908665895462
924,0.03438242897391319,15.068088694677522,0.03335168650373817,14.839218066813823,1.0018719494342803
949,0.03291650116443634,14.741545122584329,0.033798523955047136,14.938856571776382,1.001844426393509
974,0.034778013825416565,15.155029266996362,0.03426222115755081,15.041572512000077,1.0015384697914123
999,0.033495210111141205,14.871292956113367,0.03457323201000691,15.110083868762928,1.001533824801445
1024,0.03716108947992325,15.668809901279158,0.034387090466916556,15.069116037561441,1.0015689677000046
1049,0.03653356432914734,15.535126457087472,0.03550799377262592,15.314196782373298,1.0005468928813936
1074,0.03689741715788841,15.61277501887889,0.03611583147197962,15.445510118182357,0.9997886216640474
1099,0.03820835053920746,15.889468522488755,0.0367491040378809,15.581169596372936,0.9991045832633971
1124,0.037984851747751236,15.842628580620156,0.03759787984192372,15.76120792614885,0.9984223210811616
1149,0.03713323920965195,15.662900474571773,0.03733316790312528,15.7052743897802,0.9988342195749282
1174,0.04044519364833832,16.35105677410481,0.03813532926142216,15.874179839315506,0.9984783250093461
1199,0.039522912353277206,16.16229243603914,0.03848198026418685,15.946632176838783,0.9982488232851028
1224,0.03601391613483429,15.423569113624302,0.03886627536267042,16.026579450461327,0.997766645550728
1249,0.038048215210437775,15.855921722615822,0.03873377438634634,15.999058405143142,0.997549243569374
1274,0.03688878193497658,15.610936569655324,0.03813170887529851,15.873421454972968,0.9980451482534407
1299,0.03360630199313164,14.896073599473063,0.03732521366328002,15.703590656501085,0.9985200256109237
1324,0.0399320125579834,16.24628679283619,0.03659970801323652,15.549270073468076,0.9991797715425491
1349,0.03913724794983864,16.08271887069254,0.037428062446415424,15.725347870932517,0.9986798018217088
1374,0.039942704141139984,16.24847626792529,0.0382350953295827,15.89506457455555,0.9979997467994689
1399,0.03962305188179016,16.18289178674042,0.039252575822174555,16.106554409266835,0.9975045651197432
1424,0.03706441819667816,15.648288314434282,0.03980349354445934,16.21994553020186,0.9972955161333084
1449,0.03706442937254906,15.648290688388608,0.039134125933051114,16.08207314567235,0.997680967450142
1474,0.04246902093291283,16.75802635240839,0.038756645508110525,16.003812130479872,0.9977618908882141
1499,0.038232140243053436,15.894446349654764,0.03891342084854841,16.036360684502018,0.9973047995567322
1524,0.0405554436147213,16.373480066432304,0.03928608160465955,16.11347282566091,0.9969881719350816
1549,0.04054920747876167,16.372212521129484,0.03984193734824658,16.227829335415798,0.9964813619852066
1574,0.040851421654224396,16.433530648693036,0.040155492648482324,16.291992592847038,0.9963038796186447
1599,0.0458817183971405,17.423368804054817,0.04102018799632788,16.467676087409217,0.9955904430150987
1624,0.04552720487117767,17.355404350833005,0.042156948409974575,16.69590077590134,0.994151430130005
1649,0.05145972967147827,18.46084576738782,0.0443356716632843,17.125057631993705,0.9921628302335739
1674,0.047684382647275925,17.765063164499225,0.04619927570223807,17.4840309256124,0.9905117040872574
1699,0.046912431716918945,17.619525738987768,0.047290461547672746,17.690941258553064,0.9894098192453384
1724,0.04726672172546387,17.6864646647561,0.047813894599676124,17.789367401908375,0.9889740473031997
1749,0.04994678124785423,18.185104518550027,0.04797224439680576,17.81903976618391,0.988488945364952
1774,0.04645990580320358,17.533666465074575,0.04825612008571623,17.872114465185653,0.9880760991573333
1799,0.04998242110013962,18.191646451286324,0.04861154466867447,17.93835209087875,0.9877069234848023
