host_time_s,elapsed_s,frame_number,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw
1782474743.786951065,32.692198277,36,vicon_state_data,ball,1,0,1.929448371,1.252211793,0.996098146,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822205144,-0.458846671,0.820519680,0.000000000,0.000000000,-0.036856578,0.999320566
1782474743.787183762,32.692430973,37,vicon_state_data,ball,1,0,1.930124479,1.253232451,0.995616630,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822235295,-0.458968962,0.820460045,0.000000000,0.000000000,-0.037483135,0.999297260
1782474743.787282705,32.692529917,38,vicon_state_data,ball,1,0,1.937378087,1.251964250,0.996181794,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822217180,-0.458870855,0.820446987,0.000000000,0.000000000,-0.037493447,0.999296874
1782474743.787365437,32.692612648,39,vicon_state_data,ball,1,0,1.938095704,1.252801438,0.995823632,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822236189,-0.458957411,0.820453755,0.000000000,0.000000000,-0.037378702,0.999301172
1782474743.787452936,32.692700148,40,vicon_state_data,ball,1,0,1.938194815,1.253754190,0.995453242,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822237513,-0.458980741,0.820452465,0.000000000,0.000000000,-0.037408764,0.999300047
1782474743.846817970,32.752065182,41,vicon_state_data,ball,1,0,1.968234409,1.251493065,0.996371276,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822219174,-0.458939986,0.820495840,0.000000000,0.000000000,-0.036949405,0.999317138
1782474743.848477364,32.753724575,42,vicon_state_data,ball,1,0,2.009363502,1.245487415,1.006438955,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822267216,-0.459095913,0.820408822,0.000000000,0.000000000,-0.037389674,0.999300762
1782474743.850187778,32.755434990,43,vicon_state_data,ball,1,0,2.019367759,1.239201796,1.004201977,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822283406,-0.459129912,0.820423505,0.000000000,0.000000000,-0.037378546,0.999301178
1782474743.851871490,32.757118702,44,vicon_state_data,ball,1,0,2.035410512,1.242485608,1.012136617,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822282004,-0.459166630,0.820458564,0.000000000,0.000000000,-0.037401985,0.999300301
1782474743.853539467,32.758786678,45,vicon_state_data,ball,1,0,2.046111985,1.238564561,1.015439368,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822282190,-0.459169880,0.820439283,0.000000000,0.000000000,-0.037385391,0.999300922
1782474743.917422295,32.822669506,46,vicon_state_data,ball,1,0,2.053025690,1.242436732,1.014857804,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822273351,-0.459197377,0.820434592,0.000000000,0.000000000,-0.037501815,0.999296560
1782474743.919311523,32.824558735,47,vicon_state_data,ball,1,0,2.064165895,1.232353909,1.022983022,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822260049,-0.459112337,0.820496650,0.000000000,0.000000000,-0.036977092,0.999316113
1782474743.921040058,32.826287270,48,vicon_state_data,ball,1,0,2.068133061,1.231579753,1.024381225,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822281806,-0.459218397,0.820433465,0.000000000,0.000000000,-0.037487262,0.999297106
1782474743.922749043,32.827996254,49,vicon_state_data,ball,1,0,2.072110733,1.230777583,1.025759096,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822276995,-0.459209131,0.820425719,0.000000000,0.000000000,-0.037417984,0.999299702
1782474743.924468040,32.829715252,50,vicon_state_data,ball,1,0,2.076025788,1.230126938,1.027493126,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822269487,-0.459139010,0.820473169,0.000000000,0.000000000,-0.036954775,0.999316939
1782474745.307953119,34.213200331,51,vicon_state_data,ball,1,0,3.235218255,0.328543874,1.027445998,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822216757,-0.459925612,0.820542949,0.000000000,0.000000000,-0.036697692,0.999326413
1782474745.308076859,34.213324070,52,vicon_state_data,ball,1,0,3.234891782,0.325383162,1.026285453,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822213050,-0.459924110,0.820527068,0.000000000,0.000000000,-0.036700061,0.999326326
1782474745.308136463,34.213383675,53,vicon_state_data,ball,1,0,3.234896439,0.322049862,1.025253893,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822215491,-0.459872376,0.820576272,0.000000000,0.000000000,-0.036284056,0.999341517
1782474745.371618032,34.276865244,54,vicon_state_data,ball,1,0,3.234803684,0.302067438,1.020059060,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822197449,-0.459801524,0.820521090,0.000000000,0.000000000,-0.036265727,0.999342182
1782474745.371824741,34.277071953,55,vicon_state_data,ball,1,0,3.234789428,0.298753723,1.019210478,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822206258,-0.459832731,0.820483901,0.000000000,0.000000000,-0.036741028,0.999324821
1782474745.371910095,34.277157307,56,vicon_state_data,ball,1,0,3.234713624,0.295418356,1.018427602,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822212303,-0.459833175,0.820481870,0.000000000,0.000000000,-0.036639831,0.999328536
1782474745.371984720,34.277231932,57,vicon_state_data,ball,1,0,3.234624462,0.292102069,1.017784468,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822203762,-0.459821475,0.820477141,0.000000000,0.000000000,-0.036730194,0.999325219
1782474745.372056723,34.277303934,58,vicon_state_data,ball,1,0,3.234565419,0.288759033,1.017052297,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822194615,-0.459801779,0.820471903,0.000000000,0.000000000,-0.036666032,0.999327575
