seg,source,n,duration_s,start_t,end_t,start_x,end_x,start_y,end_y,start_z,end_z,min_z,max_z,max_dt_ms,max_step_cm,max_speed_mps,median_speed_mps,crosses_x0,incoming_x_decreasing,near_table,first_source_row,last_source_row
13,session_008_first30_incoming.csv,305,1.331727743000016,255.341280937,256.67300868,2.840059353,0.127692983,-0.01448608,0.271225712,1.168677762,0.947528966,0.765682665,1.686134195,87.07642600001009,22.848213063069327,235.73152150518717,3.00912474799941,False,True,True,6031,6335
14,session_008_first30_incoming.csv,348,1.4395892620000268,268.678648949,270.118238211,2.833291187,-0.267066152,0.0208013,0.08830167,1.223608449,0.51301024,0.51301024,1.54783037,85.54005700000289,16.913094198622204,223.9225509908086,3.658234295787747,True,True,True,6689,7036
15,session_008_first30_incoming.csv,287,1.2018644800000402,296.175482512,297.377346992,2.845058462,-0.777992255,0.07700758,-0.026895527,1.19483378,1.227613431,0.767795013,1.689982062,85.57176600004368,25.94050908709249,241.45775600826386,4.091233458282096,True,True,True,7141,7427
16,session_008_first30_incoming.csv,253,0.9478020669999978,315.605444908,316.553246975,2.796712852,0.13462215,0.041016168,0.578880052,1.125105148,0.913462791,0.76266952,1.260304979,83.76765200000591,17.124201142637364,196.9401393961934,3.649626356713986,False,True,True,7634,7886
17,session_008_first30_incoming.csv,288,1.147166967999965,331.827475309,332.974642277,2.674937234,-0.783593124,0.046328516,0.354998468,1.222812249,0.683188344,0.683188344,1.428997465,88.23919299999261,17.8350742755713,185.8989851406338,3.8055344273520566,True,True,True,8193,8480
18,session_008_first30_incoming.csv,254,1.0438210969999773,348.173328876,349.217149973,2.686598803,-0.750622676,-0.042178689,0.407161344,1.148513245,1.111179869,0.7679901,1.415641128,83.66823200003637,16.793855121301267,160.41569670189344,4.103503352048943,True,True,True,8613,8866
19,session_008_first30_incoming.csv,320,1.2603971959999853,366.225594759,367.485991955,2.743381912,-0.790254346,0.027933352,0.554668994,1.232232523,0.736873278,0.736873278,1.532783294,90.79861600002914,17.458805133401448,99.43991523266527,3.7123464696719126,True,True,True,9092,9411
20,session_008_first30_incoming.csv,325,1.2779338360000452,381.521677256,382.799611092,2.756504468,-0.783386429,0.039998655,-0.36404461,1.225131915,0.68656056,0.68656056,1.569813131,90.72422899998855,17.703140247642835,160.33768414997365,3.6114701585445594,True,True,True,9544,9868
21,session_008_first30_incoming.csv,314,1.2421858310000289,394.16514039,395.407326221,2.693204095,-0.725312984,-0.023282008,0.030102076,1.217740619,0.530882284,0.530882284,1.436727882,83.40191799999275,18.646455641050828,130.82357359392998,3.4178650691269175,True,True,True,10027,10340
22,session_008_first30_incoming.csv,305,1.1774990559999878,408.496653795,409.674152851,2.894513609,-0.218415865,-0.060128664,0.40124886,1.191517432,0.528130321,0.528130321,1.356495271,85.12854600002129,15.670327361704642,130.82427053885678,3.2904412167717445,True,True,True,10548,10852
