source_bvh,output_npz,frames,source_fps,output_fps,ground_shift_z,skipped_existing
/home/sijie/Downloads/bvh1h/MB047_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB047_lyn_lyn__unitree_g1.npz,622,100.0,30.0,-0.0896994099020958,False
/home/sijie/Downloads/bvh1h/MB048_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB048_lyn_lyn__unitree_g1.npz,820,100.0,30.0,-0.09067319333553314,False
/home/sijie/Downloads/bvh1h/MB049_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB049_lyn_lyn__unitree_g1.npz,690,100.0,30.0,-0.09306013584136963,False
/home/sijie/Downloads/bvh1h/MB050_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB050_lyn_lyn__unitree_g1.npz,666,100.0,30.0,-0.09141194075345993,False
/home/sijie/Downloads/bvh1h/MB051_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB051_lyn_lyn__unitree_g1.npz,834,100.0,30.0,-0.0916922390460968,False
/home/sijie/Downloads/bvh1h/MB052_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB052_lyn_lyn__unitree_g1.npz,660,100.0,30.0,-0.08950620144605637,False
/home/sijie/Downloads/bvh1h/MB053_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB053_lyn_lyn__unitree_g1.npz,1087,100.0,30.0,-0.08963074535131454,False
/home/sijie/Downloads/bvh1h/MB054_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB054_lyn_lyn__unitree_g1.npz,940,100.0,30.0,-0.09272374212741852,False
/home/sijie/Downloads/bvh1h/MB055_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB055_lyn_lyn__unitree_g1.npz,1108,100.0,30.0,-0.09236457198858261,False
/home/sijie/Downloads/bvh1h/MB056_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB056_lyn_lyn__unitree_g1.npz,1254,100.0,30.0,-0.09646348655223846,False
/home/sijie/Downloads/bvh1h/MB057_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB057_lyn_lyn__unitree_g1.npz,903,100.0,30.0,-0.09111616760492325,False
/home/sijie/Downloads/bvh1h/MB058_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB058_lyn_lyn__unitree_g1.npz,696,100.0,30.0,-0.0940186157822609,False
/home/sijie/Downloads/bvh1h/MB059_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB059_lyn_lyn__unitree_g1.npz,658,100.0,30.0,-0.09447919577360153,False
/home/sijie/Downloads/bvh1h/MB060_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB060_lyn_lyn__unitree_g1.npz,674,100.0,30.0,-0.09399496763944626,False
/home/sijie/Downloads/bvh1h/MB061_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB061_lyn_lyn__unitree_g1.npz,662,100.0,30.0,-0.09225837886333466,False
/home/sijie/Downloads/bvh1h/MB062_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB062_lyn_lyn__unitree_g1.npz,540,100.0,30.0,-0.09235886484384537,False
/home/sijie/Downloads/bvh1h/MB063_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB063_lyn_lyn__unitree_g1.npz,614,100.0,30.0,-0.09217776358127594,False
/home/sijie/Downloads/bvh1h/MB064_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB064_lyn_lyn__unitree_g1.npz,583,100.0,30.0,-0.09315720945596695,False
/home/sijie/Downloads/bvh1h/MB065_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB065_lyn_lyn__unitree_g1.npz,617,100.0,30.0,-0.09233500063419342,False
